[INFO] [1751363859.167714349] [minimal_publisher]: TIME: 11.296512 ms, Objects detected: 14
[INFO] [1751363859.595136086] [minimal_publisher]: TIME: 6.353920 ms, Objects detected: 11
[INFO] [1751363859.969931880] [minimal_publisher]: TIME: 5.939200 ms, Objects detected: 10
[INFO] [1751363860.402066803] [minimal_publisher]: TIME: 5.636096 ms, Objects detected: 11
[INFO] [1751363860.809349382] [minimal_publisher]: TIME: 6.851584 ms, Objects detected: 13
[INFO] [1751363861.198556813] [minimal_publisher]: TIME: 6.659072 ms, Objects detected: 10
[INFO] [1751363861.592266818] [minimal_publisher]: TIME: 6.954240 ms, Objects detected: 14
[INFO] [1751363861.941213673] [minimal_publisher]: TIME: 6.470176 ms, Objects detected: 13
[INFO] [1751363862.323958610] [minimal_publisher]: TIME: 6.985888 ms, Objects detected: 11
[INFO] [1751363862.706561381] [minimal_publisher]: TIME: 6.295552 ms, Objects detected: 11
[INFO] [1751363863.026550575] [minimal_publisher]: TIME: 7.341632 ms, Objects detected: 10
[INFO] [1751363863.412350456] [minimal_publisher]: TIME: 6.756352 ms, Objects detected: 10
[INFO] [1751363863.768219906] [minimal_publisher]: TIME: 6.709152 ms, Objects detected: 9
[INFO] [1751363864.071758303] [minimal_publisher]: TIME: 5.832192 ms, Objects detected: 11
[INFO] [1751363864.426473092] [minimal_publisher]: TIME: 7.783808 ms, Objects detected: 9
[INFO] [1751363864.752616007] [minimal_publisher]: TIME: 5.763072 ms, Objects detected: 10
[INFO] [1751363865.098736085] [minimal_publisher]: TIME: 6.466560 ms, Objects detected: 8
[INFO] [1751363865.390695559] [minimal_publisher]: TIME: 5.967872 ms, Objects detected: 9
[INFO] [1751363865.736927857] [minimal_publisher]: TIME: 5.849984 ms, Objects detected: 11
[INFO] [1751363866.026352921] [minimal_publisher]: TIME: 6.820096 ms, Objects detected: 13
[INFO] [1751363866.369518097] [minimal_publisher]: TIME: 5.956256 ms, Objects detected: 10
[INFO] [1751363866.665335414] [minimal_publisher]: TIME: 7.640064 ms, Objects detected: 12
[INFO] [1751363866.969614102] [minimal_publisher]: TIME: 5.711968 ms, Objects detected: 9
[INFO] [1751363867.286933612] [minimal_publisher]: TIME: 6.414816 ms, Objects detected: 10
[INFO] [1751363867.556422845] [minimal_publisher]: TIME: 6.811168 ms, Objects detected: 13
[INFO] [1751363867.860297640] [minimal_publisher]: TIME: 7.052768 ms, Objects detected: 12
[INFO] [1751363868.129459441] [minimal_publisher]: TIME: 6.242368 ms, Objects detected: 14
[INFO] [1751363868.428925931] [minimal_publisher]: TIME: 7.891872 ms, Objects detected: 12
[INFO] [1751363868.734962589] [minimal_publisher]: TIME: 6.418240 ms, Objects detected: 9
[INFO] [1751363868.991365558] [minimal_publisher]: TIME: 6.186720 ms, Objects detected: 9
[INFO] [1751363869.265236969] [minimal_publisher]: TIME: 6.869632 ms, Objects detected: 8
[INFO] [1751363869.554516365] [minimal_publisher]: TIME: 6.265856 ms, Objects detected: 12
[INFO] [1751363869.805623419] [minimal_publisher]: TIME: 5.807136 ms, Objects detected: 12
[INFO] [1751363870.087256127] [minimal_publisher]: TIME: 6.798368 ms, Objects detected: 11
[INFO] [1751363870.359342086] [minimal_publisher]: TIME: 6.115328 ms, Objects detected: 12
