[INFO] [1751366396.814823233] [minimal_publisher]: TIME: 13.490816 ms, Objects detected: 7
[INFO] [1751366397.241145537] [minimal_publisher]: TIME: 6.308864 ms, Objects detected: 9
[INFO] [1751366397.652323344] [minimal_publisher]: TIME: 6.028288 ms, Objects detected: 10
[INFO] [1751366398.055684924] [minimal_publisher]: TIME: 5.787648 ms, Objects detected: 10
[INFO] [1751366398.479510019] [minimal_publisher]: TIME: 6.142784 ms, Objects detected: 10
[INFO] [1751366398.839202303] [minimal_publisher]: TIME: 6.370944 ms, Objects detected: 9
[INFO] [1751366399.238853137] [minimal_publisher]: TIME: 6.432512 ms, Objects detected: 10
[INFO] [1751366399.645869554] [minimal_publisher]: TIME: 6.958080 ms, Objects detected: 8
[INFO] [1751366399.968015071] [minimal_publisher]: TIME: 6.437760 ms, Objects detected: 8
[INFO] [1751366400.350308046] [minimal_publisher]: TIME: 6.311936 ms, Objects detected: 9
[INFO] [1751366400.719968290] [minimal_publisher]: TIME: 7.138752 ms, Objects detected: 8
[INFO] [1751366401.045165207] [minimal_publisher]: TIME: 6.360032 ms, Objects detected: 12
[INFO] [1751366401.423203223] [minimal_publisher]: TIME: 6.930432 ms, Objects detected: 12
[INFO] [1751366401.740260341] [minimal_publisher]: TIME: 5.860032 ms, Objects detected: 10
[INFO] [1751366402.107541817] [minimal_publisher]: TIME: 7.247680 ms, Objects detected: 10
[INFO] [1751366402.418225454] [minimal_publisher]: TIME: 6.372992 ms, Objects detected: 10
[INFO] [1751366402.772434085] [minimal_publisher]: TIME: 7.498240 ms, Objects detected: 14
[INFO] [1751366403.063878485] [minimal_publisher]: TIME: 6.328928 ms, Objects detected: 9
[INFO] [1751366403.413479881] [minimal_publisher]: TIME: 7.046144 ms, Objects detected: 13
[INFO] [1751366403.733418832] [minimal_publisher]: TIME: 6.574720 ms, Objects detected: 11
[INFO] [1751366404.023499621] [minimal_publisher]: TIME: 7.851744 ms, Objects detected: 11
[INFO] [1751366404.344610380] [minimal_publisher]: TIME: 6.644800 ms, Objects detected: 9
[INFO] [1751366404.672621874] [minimal_publisher]: TIME: 7.458816 ms, Objects detected: 9
[INFO] [1751366404.935853372] [minimal_publisher]: TIME: 6.132128 ms, Objects detected: 9
[INFO] [1751366405.237725249] [minimal_publisher]: TIME: 6.983680 ms, Objects detected: 8
[INFO] [1751366405.536680403] [minimal_publisher]: TIME: 6.184608 ms, Objects detected: 11
[INFO] [1751366405.807647233] [minimal_publisher]: TIME: 7.423616 ms, Objects detected: 9
[INFO] [1751366406.110006758] [minimal_publisher]: TIME: 5.775360 ms, Objects detected: 10
[INFO] [1751366406.398273840] [minimal_publisher]: TIME: 5.789408 ms, Objects detected: 8
[INFO] [1751366406.649853065] [minimal_publisher]: TIME: 5.707936 ms, Objects detected: 9
[INFO] [1751366406.936302543] [minimal_publisher]: TIME: 6.940672 ms, Objects detected: 11
[INFO] [1751366407.186157057] [minimal_publisher]: TIME: 5.916384 ms, Objects detected: 13
[INFO] [1751366407.482612414] [minimal_publisher]: TIME: 5.752224 ms, Objects detected: 10
[INFO] [1751366407.763604026] [minimal_publisher]: TIME: 6.190080 ms, Objects detected: 12
[INFO] [1751366408.002679388] [minimal_publisher]: TIME: 5.670912 ms, Objects detected: 8
[INFO] [1751366408.287654447] [minimal_publisher]: TIME: 5.871456 ms, Objects detected: 10
[INFO] [1751366408.562750441] [minimal_publisher]: TIME: 7.538688 ms, Objects detected: 12
[INFO] [1751366408.791597275] [minimal_publisher]: TIME: 6.452608 ms, Objects detected: 10
[INFO] [1751366409.064719614] [minimal_publisher]: TIME: 6.957696 ms, Objects detected: 15
[INFO] [1751366409.294066490] [minimal_publisher]: TIME: 6.235040 ms, Objects detected: 10
[INFO] [1751366409.566951443] [minimal_publisher]: TIME: 6.677568 ms, Objects detected: 9
[INFO] [1751366409.793166981] [minimal_publisher]: TIME: 6.379552 ms, Objects detected: 9
[INFO] [1751366410.056346566] [minimal_publisher]: TIME: 6.759296 ms, Objects detected: 9
