[INFO] [1751357350.926053921] [minimal_publisher]: TIME: 11.360480 ms, Objects detected: 13
[INFO] [1751357350.986028247] [minimal_publisher]: TIME: 5.637120 ms, Objects detected: 12
[INFO] [1751357350.993464649] [minimal_publisher]: TIME: 6.870592 ms, Objects detected: 10
[INFO] [1751357351.000508944] [minimal_publisher]: TIME: 6.448288 ms, Objects detected: 15
[INFO] [1751357351.006715616] [minimal_publisher]: TIME: 5.628064 ms, Objects detected: 11
[INFO] [1751357351.096743924] [minimal_publisher]: TIME: 6.726656 ms, Objects detected: 13
[INFO] [1751357351.197271191] [minimal_publisher]: TIME: 6.882112 ms, Objects detected: 13
[INFO] [1751357351.295016091] [minimal_publisher]: TIME: 6.782976 ms, Objects detected: 11
[INFO] [1751357351.392827243] [minimal_publisher]: TIME: 6.712672 ms, Objects detected: 10
[INFO] [1751357351.496014899] [minimal_publisher]: TIME: 6.581440 ms, Objects detected: 8
[INFO] [1751357351.594932168] [minimal_publisher]: TIME: 6.664224 ms, Objects detected: 10
[INFO] [1751357351.692526050] [minimal_publisher]: TIME: 5.539968 ms, Objects detected: 9
[INFO] [1751357351.794508502] [minimal_publisher]: TIME: 6.340000 ms, Objects detected: 11
[INFO] [1751357351.894952048] [minimal_publisher]: TIME: 6.710272 ms, Objects detected: 9
[INFO] [1751357351.994640047] [minimal_publisher]: TIME: 6.397984 ms, Objects detected: 10
[INFO] [1751357352.094578243] [minimal_publisher]: TIME: 6.201696 ms, Objects detected: 8
[INFO] [1751357352.194965773] [minimal_publisher]: TIME: 6.577184 ms, Objects detected: 10
[INFO] [1751357352.295010938] [minimal_publisher]: TIME: 6.700032 ms, Objects detected: 11
[INFO] [1751357352.391978775] [minimal_publisher]: TIME: 5.728256 ms, Objects detected: 12
[INFO] [1751357352.495136409] [minimal_publisher]: TIME: 6.586688 ms, Objects detected: 9
[INFO] [1751357352.593716436] [minimal_publisher]: TIME: 6.627328 ms, Objects detected: 12
[INFO] [1751357352.694881866] [minimal_publisher]: TIME: 6.533536 ms, Objects detected: 10
[INFO] [1751357352.792459107] [minimal_publisher]: TIME: 6.750272 ms, Objects detected: 11
[INFO] [1751357352.894895286] [minimal_publisher]: TIME: 6.748512 ms, Objects detected: 13
[INFO] [1751357352.995772337] [minimal_publisher]: TIME: 6.616800 ms, Objects detected: 10
[INFO] [1751357353.094004004] [minimal_publisher]: TIME: 5.733376 ms, Objects detected: 14
[INFO] [1751357353.195784669] [minimal_publisher]: TIME: 6.815552 ms, Objects detected: 10
[INFO] [1751357353.296671991] [minimal_publisher]: TIME: 6.730656 ms, Objects detected: 10
[INFO] [1751357353.393987838] [minimal_publisher]: TIME: 6.520800 ms, Objects detected: 9
[INFO] [1751357353.494952301] [minimal_publisher]: TIME: 6.559040 ms, Objects detected: 9
[INFO] [1751357353.592773118] [minimal_publisher]: TIME: 6.749184 ms, Objects detected: 12
[INFO] [1751357353.694797179] [minimal_publisher]: TIME: 6.899648 ms, Objects detected: 14
[INFO] [1751357353.792734443] [minimal_publisher]: TIME: 6.773408 ms, Objects detected: 13
[INFO] [1751357353.890993917] [minimal_publisher]: TIME: 5.705952 ms, Objects detected: 10
[INFO] [1751357353.990113439] [minimal_publisher]: TIME: 5.771488 ms, Objects detected: 16
[INFO] [1751357354.092252364] [minimal_publisher]: TIME: 5.793440 ms, Objects detected: 14
[INFO] [1751357354.195307583] [minimal_publisher]: TIME: 6.529056 ms, Objects detected: 14
[INFO] [1751357354.295487704] [minimal_publisher]: TIME: 7.270336 ms, Objects detected: 17
[INFO] [1751357354.395519218] [minimal_publisher]: TIME: 7.192448 ms, Objects detected: 15
[INFO] [1751357354.493012370] [minimal_publisher]: TIME: 6.905152 ms, Objects detected: 13
[INFO] [1751357354.595344710] [minimal_publisher]: TIME: 7.102464 ms, Objects detected: 15
[INFO] [1751357354.694309370] [minimal_publisher]: TIME: 5.865472 ms, Objects detected: 13
[INFO] [1751357354.791038324] [minimal_publisher]: TIME: 5.693632 ms, Objects detected: 10
[INFO] [1751357354.893221368] [minimal_publisher]: TIME: 5.817344 ms, Objects detected: 13
[INFO] [1751357354.991481834] [minimal_publisher]: TIME: 5.888384 ms, Objects detected: 12
[INFO] [1751357355.091098640] [minimal_publisher]: TIME: 5.753856 ms, Objects detected: 16
[INFO] [1751357355.189999413] [minimal_publisher]: TIME: 5.721248 ms, Objects detected: 10
[INFO] [1751357355.291313168] [minimal_publisher]: TIME: 5.799168 ms, Objects detected: 12
[INFO] [1751357355.393998818] [minimal_publisher]: TIME: 5.769056 ms, Objects detected: 14
[INFO] [1751357355.494049471] [minimal_publisher]: TIME: 6.777856 ms, Objects detected: 11
[INFO] [1751357355.595188671] [minimal_publisher]: TIME: 6.912416 ms, Objects detected: 12
