[INFO] [1751366122.477118099] [minimal_publisher]: TIME: 5.912576 ms, Objects detected: 14
[INFO] [1751366122.694639869] [minimal_publisher]: TIME: 5.812320 ms, Objects detected: 12
[INFO] [1751366122.882583317] [minimal_publisher]: TIME: 5.863424 ms, Objects detected: 15
[INFO] [1751366123.104604521] [minimal_publisher]: TIME: 6.537600 ms, Objects detected: 16
[INFO] [1751366123.289627842] [minimal_publisher]: TIME: 5.818592 ms, Objects detected: 12
[INFO] [1751366123.506981269] [minimal_publisher]: TIME: 7.809952 ms, Objects detected: 13
[INFO] [1751366123.721490355] [minimal_publisher]: TIME: 7.067936 ms, Objects detected: 18
[INFO] [1751366123.907207373] [minimal_publisher]: TIME: 6.780064 ms, Objects detected: 14
[INFO] [1751366124.087944806] [minimal_publisher]: TIME: 6.879968 ms, Objects detected: 9
[INFO] [1751366124.299274870] [minimal_publisher]: TIME: 5.824864 ms, Objects detected: 14
[INFO] [1751366124.515152432] [minimal_publisher]: TIME: 7.775232 ms, Objects detected: 17
[INFO] [1751366124.692367331] [minimal_publisher]: TIME: 8.349824 ms, Objects detected: 15
[INFO] [1751366124.884107690] [minimal_publisher]: TIME: 6.387712 ms, Objects detected: 13
[INFO] [1751366125.092960495] [minimal_publisher]: TIME: 8.198272 ms, Objects detected: 11
[INFO] [1751366125.275782898] [minimal_publisher]: TIME: 8.210304 ms, Objects detected: 12
[INFO] [1751366125.478625015] [minimal_publisher]: TIME: 6.859104 ms, Objects detected: 11
[INFO] [1751366125.653412857] [minimal_publisher]: TIME: 7.544480 ms, Objects detected: 15
[INFO] [1751366125.853796098] [minimal_publisher]: TIME: 5.994560 ms, Objects detected: 14
[INFO] [1751366126.058603889] [minimal_publisher]: TIME: 6.526240 ms, Objects detected: 13
[INFO] [1751366126.230971841] [minimal_publisher]: TIME: 6.809600 ms, Objects detected: 12
[INFO] [1751366126.437210687] [minimal_publisher]: TIME: 5.998592 ms, Objects detected: 13
[INFO] [1751366126.614493120] [minimal_publisher]: TIME: 6.178304 ms, Objects detected: 12
[INFO] [1751366126.809664637] [minimal_publisher]: TIME: 7.825216 ms, Objects detected: 12
[INFO] [1751366126.980632922] [minimal_publisher]: TIME: 5.863424 ms, Objects detected: 16
[INFO] [1751366127.180489446] [minimal_publisher]: TIME: 6.783904 ms, Objects detected: 13
[INFO] [1751366127.346262865] [minimal_publisher]: TIME: 6.919168 ms, Objects detected: 13
[INFO] [1751366127.546035998] [minimal_publisher]: TIME: 6.455296 ms, Objects detected: 13
[INFO] [1751366127.739067712] [minimal_publisher]: TIME: 7.282656 ms, Objects detected: 17
[INFO] [1751366127.908623843] [minimal_publisher]: TIME: 7.434848 ms, Objects detected: 12
[INFO] [1751366128.102235681] [minimal_publisher]: TIME: 6.190080 ms, Objects detected: 13
[INFO] [1751366128.272631431] [minimal_publisher]: TIME: 7.271200 ms, Objects detected: 17
[INFO] [1751366128.461075968] [minimal_publisher]: TIME: 7.550336 ms, Objects detected: 16
[INFO] [1751366128.631734990] [minimal_publisher]: TIME: 6.405376 ms, Objects detected: 16
[INFO] [1751366128.820896805] [minimal_publisher]: TIME: 7.523520 ms, Objects detected: 16
[INFO] [1751366128.985059822] [minimal_publisher]: TIME: 7.654400 ms, Objects detected: 17
[INFO] [1751366129.178747612] [minimal_publisher]: TIME: 6.182592 ms, Objects detected: 15
[INFO] [1751366129.336031569] [minimal_publisher]: TIME: 5.811296 ms, Objects detected: 16
[INFO] [1751366129.528033389] [minimal_publisher]: TIME: 6.805568 ms, Objects detected: 16
[INFO] [1751366129.688471590] [minimal_publisher]: TIME: 6.700288 ms, Objects detected: 18
[INFO] [1751366129.874016118] [minimal_publisher]: TIME: 7.433216 ms, Objects detected: 16
[INFO] [1751366130.032396708] [minimal_publisher]: TIME: 5.854528 ms, Objects detected: 15
[INFO] [1751366130.221285676] [minimal_publisher]: TIME: 7.174848 ms, Objects detected: 17
[INFO] [1751366130.373096858] [minimal_publisher]: TIME: 6.037664 ms, Objects detected: 13
[INFO] [1751366130.558395574] [minimal_publisher]: TIME: 7.390400 ms, Objects detected: 16
[INFO] [1751366130.745250432] [minimal_publisher]: TIME: 6.852288 ms, Objects detected: 13
[INFO] [1751366130.904863385] [minimal_publisher]: TIME: 7.696832 ms, Objects detected: 17
[INFO] [1751366131.066001873] [minimal_publisher]: TIME: 5.759936 ms, Objects detected: 11
[INFO] [1751366131.248091328] [minimal_publisher]: TIME: 5.840096 ms, Objects detected: 12
[INFO] [1751366131.401825792] [minimal_publisher]: TIME: 7.096416 ms, Objects detected: 15
[INFO] [1751366131.581135184] [minimal_publisher]: TIME: 7.377920 ms, Objects detected: 12
[INFO] [1751366131.733747924] [minimal_publisher]: TIME: 6.261088 ms, Objects detected: 14
[INFO] [1751366131.916123787] [minimal_publisher]: TIME: 7.251968 ms, Objects detected: 16
[INFO] [1751366132.069625453] [minimal_publisher]: TIME: 7.316224 ms, Objects detected: 17
[INFO] [1751366132.245378116] [minimal_publisher]: TIME: 6.517728 ms, Objects detected: 13
[INFO] [1751366132.413149934] [minimal_publisher]: TIME: 6.364160 ms, Objects detected: 12
[INFO] [1751366132.561305557] [minimal_publisher]: TIME: 7.392320 ms, Objects detected: 15
[INFO] [1751366132.731648938] [minimal_publisher]: TIME: 5.754880 ms, Objects detected: 12
[INFO] [1751366132.889464848] [minimal_publisher]: TIME: 7.480032 ms, Objects detected: 13
[INFO] [1751366133.066948129] [minimal_publisher]: TIME: 7.100800 ms, Objects detected: 13
[INFO] [1751366133.216988118] [minimal_publisher]: TIME: 5.781504 ms, Objects detected: 14
[INFO] [1751366133.362804558] [minimal_publisher]: TIME: 7.107296 ms, Objects detected: 13
[INFO] [1751366133.537189626] [minimal_publisher]: TIME: 7.084928 ms, Objects detected: 14
[INFO] [1751366133.689365743] [minimal_publisher]: TIME: 6.684992 ms, Objects detected: 15
[INFO] [1751366133.861935301] [minimal_publisher]: TIME: 7.486464 ms, Objects detected: 17
[INFO] [1751366134.008591046] [minimal_publisher]: TIME: 7.442464 ms, Objects detected: 14
[INFO] [1751366134.173413900] [minimal_publisher]: TIME: 7.511040 ms, Objects detected: 15
[INFO] [1751366134.324192123] [minimal_publisher]: TIME: 6.301696 ms, Objects detected: 15
[INFO] [1751366134.488271280] [minimal_publisher]: TIME: 6.156480 ms, Objects detected: 16
[INFO] [1751366134.633764133] [minimal_publisher]: TIME: 8.049568 ms, Objects detected: 18
[INFO] [1751366134.787819466] [minimal_publisher]: TIME: 7.734528 ms, Objects detected: 19
[INFO] [1751366134.945889882] [minimal_publisher]: TIME: 7.078016 ms, Objects detected: 14
[INFO] [1751366135.113905049] [minimal_publisher]: TIME: 7.421952 ms, Objects detected: 12
[INFO] [1751366135.262589692] [minimal_publisher]: TIME: 7.065152 ms, Objects detected: 12
[INFO] [1751366135.423363171] [minimal_publisher]: TIME: 6.640704 ms, Objects detected: 10
[INFO] [1751366135.575230134] [minimal_publisher]: TIME: 7.533568 ms, Objects detected: 13
[INFO] [1751366135.715316584] [minimal_publisher]: TIME: 7.675104 ms, Objects detected: 17
[INFO] [1751366135.880584630] [minimal_publisher]: TIME: 7.497184 ms, Objects detected: 18
[INFO] [1751366136.037472773] [minimal_publisher]: TIME: 7.028736 ms, Objects detected: 13
[INFO] [1751366136.179477760] [minimal_publisher]: TIME: 7.478720 ms, Objects detected: 20
[INFO] [1751366136.326307063] [minimal_publisher]: TIME: 7.256064 ms, Objects detected: 16
[INFO] [1751366136.488644694] [minimal_publisher]: TIME: 7.025504 ms, Objects detected: 16
[INFO] [1751366136.627147660] [minimal_publisher]: TIME: 7.094272 ms, Objects detected: 12
[INFO] [1751366136.794272014] [minimal_publisher]: TIME: 8.082496 ms, Objects detected: 11
[INFO] [1751366136.934875004] [minimal_publisher]: TIME: 7.711424 ms, Objects detected: 14
[INFO] [1751366137.089523892] [minimal_publisher]: TIME: 5.849024 ms, Objects detected: 14
[INFO] [1751366137.226118166] [minimal_publisher]: TIME: 5.830432 ms, Objects detected: 14
[INFO] [1751366137.386694098] [minimal_publisher]: TIME: 7.092224 ms, Objects detected: 15
[INFO] [1751366137.544559833] [minimal_publisher]: TIME: 7.111040 ms, Objects detected: 13
[INFO] [1751366137.686587458] [minimal_publisher]: TIME: 7.795776 ms, Objects detected: 14
[INFO] [1751366137.843388972] [minimal_publisher]: TIME: 7.230464 ms, Objects detected: 17
[INFO] [1751366137.977643968] [minimal_publisher]: TIME: 6.422688 ms, Objects detected: 16
[INFO] [1751366138.138937594] [minimal_publisher]: TIME: 7.648064 ms, Objects detected: 12
[INFO] [1751366138.276296594] [minimal_publisher]: TIME: 7.223296 ms, Objects detected: 12
[INFO] [1751366138.433355232] [minimal_publisher]: TIME: 7.547904 ms, Objects detected: 14
[INFO] [1751366138.567684611] [minimal_publisher]: TIME: 6.445184 ms, Objects detected: 12
[INFO] [1751366138.721269984] [minimal_publisher]: TIME: 7.738368 ms, Objects detected: 16
[INFO] [1751366138.858810282] [minimal_publisher]: TIME: 6.798240 ms, Objects detected: 13
[INFO] [1751366139.014899722] [minimal_publisher]: TIME: 6.958720 ms, Objects detected: 12
[INFO] [1751366139.141281115] [minimal_publisher]: TIME: 7.001920 ms, Objects detected: 14
[INFO] [1751366139.298765773] [minimal_publisher]: TIME: 5.929984 ms, Objects detected: 12
[INFO] [1751366139.432738638] [minimal_publisher]: TIME: 7.244896 ms, Objects detected: 15
[INFO] [1751366139.587064414] [minimal_publisher]: TIME: 7.498752 ms, Objects detected: 12
[INFO] [1751366139.719914580] [minimal_publisher]: TIME: 7.425984 ms, Objects detected: 11
[INFO] [1751366139.867632890] [minimal_publisher]: TIME: 6.581600 ms, Objects detected: 16
[INFO] [1751366140.000137581] [minimal_publisher]: TIME: 6.897888 ms, Objects detected: 11
[INFO] [1751366140.151378399] [minimal_publisher]: TIME: 6.180608 ms, Objects detected: 12
[INFO] [1751366140.359936901] [minimal_publisher]: TIME: 5.857184 ms, Objects detected: 15
[INFO] [1751366140.490771994] [minimal_publisher]: TIME: 7.051264 ms, Objects detected: 11
[INFO] [1751366140.642324632] [minimal_publisher]: TIME: 7.077920 ms, Objects detected: 13
[INFO] [1751366140.781902890] [minimal_publisher]: TIME: 6.732992 ms, Objects detected: 9
[INFO] [1751366140.927179639] [minimal_publisher]: TIME: 5.834592 ms, Objects detected: 12
[INFO] [1751366141.056449121] [minimal_publisher]: TIME: 6.944768 ms, Objects detected: 14
[INFO] [1751366141.200283141] [minimal_publisher]: TIME: 7.082624 ms, Objects detected: 12
[INFO] [1751366141.546677711] [minimal_publisher]: TIME: 6.240256 ms, Objects detected: 13
[INFO] [1751366141.811121572] [minimal_publisher]: TIME: 6.886240 ms, Objects detected: 11
[INFO] [1751366142.139060194] [minimal_publisher]: TIME: 6.355968 ms, Objects detected: 11
[INFO] [1751366142.402472776] [minimal_publisher]: TIME: 7.190528 ms, Objects detected: 13
[INFO] [1751366142.702744180] [minimal_publisher]: TIME: 6.125568 ms, Objects detected: 14
[INFO] [1751366143.000584735] [minimal_publisher]: TIME: 6.663168 ms, Objects detected: 12
[INFO] [1751366143.259341853] [minimal_publisher]: TIME: 5.861216 ms, Objects detected: 15
[INFO] [1751366143.560946146] [minimal_publisher]: TIME: 6.126432 ms, Objects detected: 12
[INFO] [1751366143.812493991] [minimal_publisher]: TIME: 7.362816 ms, Objects detected: 17
[INFO] [1751366144.094898607] [minimal_publisher]: TIME: 5.868576 ms, Objects detected: 15
[INFO] [1751366144.375265791] [minimal_publisher]: TIME: 6.239008 ms, Objects detected: 17
[INFO] [1751366144.654398330] [minimal_publisher]: TIME: 6.206592 ms, Objects detected: 14
[INFO] [1751366144.899643848] [minimal_publisher]: TIME: 6.863744 ms, Objects detected: 12
[INFO] [1751366145.179978536] [minimal_publisher]: TIME: 5.780544 ms, Objects detected: 14
[INFO] [1751366145.426229693] [minimal_publisher]: TIME: 7.708672 ms, Objects detected: 15
[INFO] [1751366145.689341034] [minimal_publisher]: TIME: 7.771136 ms, Objects detected: 14
[INFO] [1751366145.962949704] [minimal_publisher]: TIME: 5.787616 ms, Objects detected: 14
[INFO] [1751366146.192014485] [minimal_publisher]: TIME: 7.377472 ms, Objects detected: 14
[INFO] [1751366146.464125583] [minimal_publisher]: TIME: 5.913472 ms, Objects detected: 17
[INFO] [1751366146.695278713] [minimal_publisher]: TIME: 6.965248 ms, Objects detected: 13
[INFO] [1751366146.967563334] [minimal_publisher]: TIME: 6.391808 ms, Objects detected: 15
[INFO] [1751366147.228678348] [minimal_publisher]: TIME: 7.086176 ms, Objects detected: 14
[INFO] [1751366147.438573924] [minimal_publisher]: TIME: 5.895360 ms, Objects detected: 12
[INFO] [1751366147.687761015] [minimal_publisher]: TIME: 6.188320 ms, Objects detected: 15
[INFO] [1751366147.934364840] [minimal_publisher]: TIME: 7.365344 ms, Objects detected: 15
[INFO] [1751366148.189601046] [minimal_publisher]: TIME: 7.272736 ms, Objects detected: 16
[INFO] [1751366148.429780671] [minimal_publisher]: TIME: 5.862400 ms, Objects detected: 15
[INFO] [1751366148.644593768] [minimal_publisher]: TIME: 7.825344 ms, Objects detected: 16
[INFO] [1751366148.895898484] [minimal_publisher]: TIME: 5.821440 ms, Objects detected: 14
[INFO] [1751366149.107381756] [minimal_publisher]: TIME: 6.967680 ms, Objects detected: 13
[INFO] [1751366149.360707652] [minimal_publisher]: TIME: 6.327328 ms, Objects detected: 12
[INFO] [1751366149.572323191] [minimal_publisher]: TIME: 6.769856 ms, Objects detected: 11
[INFO] [1751366149.812811628] [minimal_publisher]: TIME: 6.855360 ms, Objects detected: 13
[INFO] [1751366150.047470401] [minimal_publisher]: TIME: 7.562816 ms, Objects detected: 13
[INFO] [1751366150.260127976] [minimal_publisher]: TIME: 6.419424 ms, Objects detected: 12
[INFO] [1751366150.498150386] [minimal_publisher]: TIME: 6.963040 ms, Objects detected: 13
[INFO] [1751366150.726977260] [minimal_publisher]: TIME: 6.112032 ms, Objects detected: 10
[INFO] [1751366150.934762841] [minimal_publisher]: TIME: 7.274496 ms, Objects detected: 14
[INFO] [1751366151.163848909] [minimal_publisher]: TIME: 5.856256 ms, Objects detected: 15
[INFO] [1751366151.365981456] [minimal_publisher]: TIME: 6.804480 ms, Objects detected: 12
[INFO] [1751366151.595265160] [minimal_publisher]: TIME: 6.161408 ms, Objects detected: 12
[INFO] [1751366151.822217678] [minimal_publisher]: TIME: 6.903520 ms, Objects detected: 12
