[INFO] [1751366448.542273711] [minimal_publisher]: TIME: 15.297888 ms, Objects detected: 13
[INFO] [1751366448.967698275] [minimal_publisher]: TIME: 7.038368 ms, Objects detected: 13
[INFO] [1751366449.348371248] [minimal_publisher]: TIME: 5.681408 ms, Objects detected: 10
[INFO] [1751366449.769727257] [minimal_publisher]: TIME: 5.599232 ms, Objects detected: 9
[INFO] [1751366450.198324074] [minimal_publisher]: TIME: 6.724416 ms, Objects detected: 9
[INFO] [1751366450.604568617] [minimal_publisher]: TIME: 5.816160 ms, Objects detected: 12
[INFO] [1751366450.995088272] [minimal_publisher]: TIME: 6.307104 ms, Objects detected: 14
[INFO] [1751366451.334831605] [minimal_publisher]: TIME: 6.867584 ms, Objects detected: 10
[INFO] [1751366451.726627888] [minimal_publisher]: TIME: 5.794976 ms, Objects detected: 10
[INFO] [1751366452.083858412] [minimal_publisher]: TIME: 6.848512 ms, Objects detected: 14
[INFO] [1751366452.434259313] [minimal_publisher]: TIME: 7.626752 ms, Objects detected: 16
[INFO] [1751366452.808502292] [minimal_publisher]: TIME: 5.868544 ms, Objects detected: 15
[INFO] [1751366453.120490092] [minimal_publisher]: TIME: 5.929984 ms, Objects detected: 16
[INFO] [1751366453.483899659] [minimal_publisher]: TIME: 6.305792 ms, Objects detected: 18
[INFO] [1751366453.841509081] [minimal_publisher]: TIME: 7.160928 ms, Objects detected: 14
[INFO] [1751366454.136911239] [minimal_publisher]: TIME: 6.616064 ms, Objects detected: 15
[INFO] [1751366454.488513241] [minimal_publisher]: TIME: 7.637696 ms, Objects detected: 13
[INFO] [1751366454.788154535] [minimal_publisher]: TIME: 7.014560 ms, Objects detected: 10
[INFO] [1751366455.130664681] [minimal_publisher]: TIME: 6.226528 ms, Objects detected: 13
[INFO] [1751366455.424267372] [minimal_publisher]: TIME: 7.227392 ms, Objects detected: 12
[INFO] [1751366455.752240396] [minimal_publisher]: TIME: 7.509024 ms, Objects detected: 16
[INFO] [1751366456.077374198] [minimal_publisher]: TIME: 7.042080 ms, Objects detected: 12
[INFO] [1751366456.347443116] [minimal_publisher]: TIME: 8.314720 ms, Objects detected: 11
[INFO] [1751366456.642314365] [minimal_publisher]: TIME: 7.288608 ms, Objects detected: 14
[INFO] [1751366456.956029239] [minimal_publisher]: TIME: 7.428032 ms, Objects detected: 11
[INFO] [1751366457.231675787] [minimal_publisher]: TIME: 7.047168 ms, Objects detected: 12
[INFO] [1751366457.540110519] [minimal_publisher]: TIME: 7.837632 ms, Objects detected: 13
[INFO] [1751366457.808273729] [minimal_publisher]: TIME: 7.053440 ms, Objects detected: 12
[INFO] [1751366458.097586050] [minimal_publisher]: TIME: 7.085152 ms, Objects detected: 12
[INFO] [1751366458.388402829] [minimal_publisher]: TIME: 7.547424 ms, Objects detected: 13
[INFO] [1751366458.648006255] [minimal_publisher]: TIME: 6.668960 ms, Objects detected: 12
[INFO] [1751366458.939820495] [minimal_publisher]: TIME: 7.423008 ms, Objects detected: 13
[INFO] [1751366459.216648647] [minimal_publisher]: TIME: 6.952192 ms, Objects detected: 12
[INFO] [1751366459.465267890] [minimal_publisher]: TIME: 6.930304 ms, Objects detected: 10
[INFO] [1751366459.742683493] [minimal_publisher]: TIME: 6.887584 ms, Objects detected: 12
[INFO] [1751366460.027987818] [minimal_publisher]: TIME: 7.716768 ms, Objects detected: 11
[INFO] [1751366460.296658610] [minimal_publisher]: TIME: 7.070720 ms, Objects detected: 12
[INFO] [1751366460.527007757] [minimal_publisher]: TIME: 7.139328 ms, Objects detected: 15
[INFO] [1751366460.807250127] [minimal_publisher]: TIME: 7.355680 ms, Objects detected: 14
[INFO] [1751366461.041745420] [minimal_publisher]: TIME: 7.238656 ms, Objects detected: 11
[INFO] [1751366461.313459380] [minimal_publisher]: TIME: 7.002848 ms, Objects detected: 12
[INFO] [1751366461.546425010] [minimal_publisher]: TIME: 6.814048 ms, Objects detected: 11
[INFO] [1751366461.814395410] [minimal_publisher]: TIME: 6.285312 ms, Objects detected: 9
[INFO] [1751366462.058357610] [minimal_publisher]: TIME: 6.304608 ms, Objects detected: 13
[INFO] [1751366462.288189746] [minimal_publisher]: TIME: 5.992768 ms, Objects detected: 16
[INFO] [1751366462.529865735] [minimal_publisher]: TIME: 5.801536 ms, Objects detected: 14
[INFO] [1751366462.790241307] [minimal_publisher]: TIME: 6.941344 ms, Objects detected: 10
[INFO] [1751366463.011193882] [minimal_publisher]: TIME: 6.568064 ms, Objects detected: 10
[INFO] [1751366463.260961411] [minimal_publisher]: TIME: 7.481440 ms, Objects detected: 12
[INFO] [1751366463.515310735] [minimal_publisher]: TIME: 7.370912 ms, Objects detected: 13
[INFO] [1751366463.725722549] [minimal_publisher]: TIME: 7.317600 ms, Objects detected: 14
[INFO] [1751366463.974758884] [minimal_publisher]: TIME: 6.266656 ms, Objects detected: 13
[INFO] [1751366464.187662149] [minimal_publisher]: TIME: 7.168000 ms, Objects detected: 10
[INFO] [1751366464.441001528] [minimal_publisher]: TIME: 6.819040 ms, Objects detected: 12
[INFO] [1751366464.652665874] [minimal_publisher]: TIME: 6.967296 ms, Objects detected: 11
[INFO] [1751366464.906195569] [minimal_publisher]: TIME: 5.778560 ms, Objects detected: 11
[INFO] [1751366465.107438229] [minimal_publisher]: TIME: 6.455232 ms, Objects detected: 10
[INFO] [1751366465.335226266] [minimal_publisher]: TIME: 5.820416 ms, Objects detected: 15
[INFO] [1751366465.569118633] [minimal_publisher]: TIME: 5.731168 ms, Objects detected: 12
[INFO] [1751366465.775599098] [minimal_publisher]: TIME: 6.872576 ms, Objects detected: 11
[INFO] [1751366466.009676409] [minimal_publisher]: TIME: 7.434240 ms, Objects detected: 14
[INFO] [1751366466.232714936] [minimal_publisher]: TIME: 6.700032 ms, Objects detected: 14
[INFO] [1751366466.431653392] [minimal_publisher]: TIME: 7.374272 ms, Objects detected: 13
[INFO] [1751366466.662650569] [minimal_publisher]: TIME: 6.491360 ms, Objects detected: 11
[INFO] [1751366466.855578206] [minimal_publisher]: TIME: 7.142048 ms, Objects detected: 15
[INFO] [1751366467.081276287] [minimal_publisher]: TIME: 5.851936 ms, Objects detected: 15
[INFO] [1751366467.305362716] [minimal_publisher]: TIME: 7.256000 ms, Objects detected: 14
[INFO] [1751366467.498499767] [minimal_publisher]: TIME: 5.876128 ms, Objects detected: 16
[INFO] [1751366467.728623406] [minimal_publisher]: TIME: 6.203328 ms, Objects detected: 15
