[INFO] [1751363672.133298718] [minimal_publisher]: TIME: 46.888962 ms, Objects detected: 7
[INFO] [1751363672.179329928] [minimal_publisher]: TIME: 5.963904 ms, Objects detected: 9
[INFO] [1751363672.283300733] [minimal_publisher]: TIME: 6.914048 ms, Objects detected: 10
[INFO] [1751363672.380871597] [minimal_publisher]: TIME: 7.161408 ms, Objects detected: 10
[INFO] [1751363672.479930386] [minimal_publisher]: TIME: 6.652512 ms, Objects detected: 10
[INFO] [1751363672.583221166] [minimal_publisher]: TIME: 6.675424 ms, Objects detected: 9
[INFO] [1751363672.685130009] [minimal_publisher]: TIME: 6.863872 ms, Objects detected: 10
[INFO] [1751363672.782028554] [minimal_publisher]: TIME: 6.614880 ms, Objects detected: 7
[INFO] [1751363672.883347217] [minimal_publisher]: TIME: 6.587360 ms, Objects detected: 9
[INFO] [1751363672.980467113] [minimal_publisher]: TIME: 6.095872 ms, Objects detected: 9
[INFO] [1751363673.079795529] [minimal_publisher]: TIME: 5.739584 ms, Objects detected: 7
[INFO] [1751363673.183566571] [minimal_publisher]: TIME: 6.737920 ms, Objects detected: 12
[INFO] [1751363673.283531100] [minimal_publisher]: TIME: 6.833152 ms, Objects detected: 13
[INFO] [1751363673.384521149] [minimal_publisher]: TIME: 6.694912 ms, Objects detected: 9
[INFO] [1751363673.484641637] [minimal_publisher]: TIME: 6.857728 ms, Objects detected: 12
[INFO] [1751363673.582338749] [minimal_publisher]: TIME: 6.619136 ms, Objects detected: 10
[INFO] [1751363673.684664479] [minimal_publisher]: TIME: 6.971712 ms, Objects detected: 15
[INFO] [1751363673.784700205] [minimal_publisher]: TIME: 6.761568 ms, Objects detected: 10
[INFO] [1751363673.883377982] [minimal_publisher]: TIME: 6.786048 ms, Objects detected: 13
[INFO] [1751363673.984830771] [minimal_publisher]: TIME: 6.982624 ms, Objects detected: 14
[INFO] [1751363674.082529969] [minimal_publisher]: TIME: 6.958080 ms, Objects detected: 11
[INFO] [1751363674.181152042] [minimal_publisher]: TIME: 7.626752 ms, Objects detected: 10
[INFO] [1751363674.283364242] [minimal_publisher]: TIME: 6.665216 ms, Objects detected: 9
[INFO] [1751363674.382646325] [minimal_publisher]: TIME: 6.957408 ms, Objects detected: 11
[INFO] [1751363674.481040660] [minimal_publisher]: TIME: 6.480896 ms, Objects detected: 8
[INFO] [1751363674.581952154] [minimal_publisher]: TIME: 6.435904 ms, Objects detected: 10
[INFO] [1751363674.682605305] [minimal_publisher]: TIME: 6.877184 ms, Objects detected: 9
[INFO] [1751363674.779032902] [minimal_publisher]: TIME: 6.211936 ms, Objects detected: 10
[INFO] [1751363674.879129872] [minimal_publisher]: TIME: 6.088064 ms, Objects detected: 9
[INFO] [1751363674.982323262] [minimal_publisher]: TIME: 6.592672 ms, Objects detected: 10
[INFO] [1751363675.082195806] [minimal_publisher]: TIME: 6.588448 ms, Objects detected: 10
[INFO] [1751363675.183919032] [minimal_publisher]: TIME: 7.490240 ms, Objects detected: 13
[INFO] [1751363675.282150993] [minimal_publisher]: TIME: 6.729728 ms, Objects detected: 12
[INFO] [1751363675.381314222] [minimal_publisher]: TIME: 6.672640 ms, Objects detected: 12
[INFO] [1751363675.482252903] [minimal_publisher]: TIME: 6.730592 ms, Objects detected: 11
[INFO] [1751363675.580240645] [minimal_publisher]: TIME: 7.144448 ms, Objects detected: 11
[INFO] [1751363675.682369843] [minimal_publisher]: TIME: 6.892640 ms, Objects detected: 14
[INFO] [1751363675.783060760] [minimal_publisher]: TIME: 6.566912 ms, Objects detected: 10
[INFO] [1751363675.882634190] [minimal_publisher]: TIME: 6.943072 ms, Objects detected: 14
[INFO] [1751363675.979000416] [minimal_publisher]: TIME: 6.062272 ms, Objects detected: 11
[INFO] [1751363676.083305099] [minimal_publisher]: TIME: 6.686560 ms, Objects detected: 10
[INFO] [1751363676.181709327] [minimal_publisher]: TIME: 6.663456 ms, Objects detected: 9
[INFO] [1751363676.282279005] [minimal_publisher]: TIME: 6.567104 ms, Objects detected: 9
[INFO] [1751363676.380763975] [minimal_publisher]: TIME: 7.251232 ms, Objects detected: 12
[INFO] [1751363676.478710652] [minimal_publisher]: TIME: 6.004384 ms, Objects detected: 14
[INFO] [1751363676.580658053] [minimal_publisher]: TIME: 7.252544 ms, Objects detected: 14
[INFO] [1751363676.682640159] [minimal_publisher]: TIME: 6.746112 ms, Objects detected: 11
[INFO] [1751363676.781902875] [minimal_publisher]: TIME: 7.313632 ms, Objects detected: 15
[INFO] [1751363676.883590515] [minimal_publisher]: TIME: 6.977536 ms, Objects detected: 15
[INFO] [1751363676.984566608] [minimal_publisher]: TIME: 6.870016 ms, Objects detected: 15
[INFO] [1751363677.082991603] [minimal_publisher]: TIME: 7.209568 ms, Objects detected: 16
[INFO] [1751363677.183157975] [minimal_publisher]: TIME: 7.234400 ms, Objects detected: 16
[INFO] [1751363677.280840890] [minimal_publisher]: TIME: 7.389120 ms, Objects detected: 14
[INFO] [1751363677.383079413] [minimal_publisher]: TIME: 7.536480 ms, Objects detected: 15
[INFO] [1751363677.483259191] [minimal_publisher]: TIME: 7.535616 ms, Objects detected: 15
[INFO] [1751363677.582793633] [minimal_publisher]: TIME: 7.229696 ms, Objects detected: 14
[INFO] [1751363677.684676800] [minimal_publisher]: TIME: 7.133088 ms, Objects detected: 13
