[INFO] [1751357100.463490967] [minimal_publisher]: TIME: 48.421886 ms, Objects detected: 7
[INFO] [1751357100.522035054] [minimal_publisher]: TIME: 6.352768 ms, Objects detected: 9
[INFO] [1751357100.625074696] [minimal_publisher]: TIME: 6.910144 ms, Objects detected: 10
[INFO] [1751357100.721330145] [minimal_publisher]: TIME: 6.738496 ms, Objects detected: 9
[INFO] [1751357100.821509488] [minimal_publisher]: TIME: 6.658048 ms, Objects detected: 11
[INFO] [1751357100.925045374] [minimal_publisher]: TIME: 6.641280 ms, Objects detected: 8
[INFO] [1751357101.026281583] [minimal_publisher]: TIME: 6.801408 ms, Objects detected: 10
[INFO] [1751357101.123730025] [minimal_publisher]: TIME: 6.623232 ms, Objects detected: 7
[INFO] [1751357101.224190813] [minimal_publisher]: TIME: 5.739520 ms, Objects detected: 11
[INFO] [1751357101.322618327] [minimal_publisher]: TIME: 6.605152 ms, Objects detected: 9
[INFO] [1751357101.424785487] [minimal_publisher]: TIME: 6.567936 ms, Objects detected: 8
[INFO] [1751357101.525374350] [minimal_publisher]: TIME: 6.698400 ms, Objects detected: 12
[INFO] [1751357101.624979305] [minimal_publisher]: TIME: 6.801472 ms, Objects detected: 11
[INFO] [1751357101.726396571] [minimal_publisher]: TIME: 6.656448 ms, Objects detected: 11
[INFO] [1751357101.826364426] [minimal_publisher]: TIME: 6.727808 ms, Objects detected: 11
[INFO] [1751357101.922701957] [minimal_publisher]: TIME: 5.732352 ms, Objects detected: 10
[INFO] [1751357102.024913236] [minimal_publisher]: TIME: 6.557728 ms, Objects detected: 13
[INFO] [1751357102.123040139] [minimal_publisher]: TIME: 5.716640 ms, Objects detected: 10
[INFO] [1751357102.221137164] [minimal_publisher]: TIME: 5.695488 ms, Objects detected: 13
[INFO] [1751357102.326680805] [minimal_publisher]: TIME: 6.974464 ms, Objects detected: 14
[INFO] [1751357102.424180455] [minimal_publisher]: TIME: 6.975296 ms, Objects detected: 11
[INFO] [1751357102.523590367] [minimal_publisher]: TIME: 8.455168 ms, Objects detected: 10
[INFO] [1751357102.625402634] [minimal_publisher]: TIME: 6.814688 ms, Objects detected: 8
[INFO] [1751357102.724052328] [minimal_publisher]: TIME: 6.775744 ms, Objects detected: 9
[INFO] [1751357102.821813221] [minimal_publisher]: TIME: 5.734400 ms, Objects detected: 9
[INFO] [1751357102.923946117] [minimal_publisher]: TIME: 6.515712 ms, Objects detected: 11
[INFO] [1751357103.024038227] [minimal_publisher]: TIME: 6.842432 ms, Objects detected: 9
[INFO] [1751357103.123765975] [minimal_publisher]: TIME: 6.493152 ms, Objects detected: 10
[INFO] [1751357103.223682797] [minimal_publisher]: TIME: 6.472704 ms, Objects detected: 11
[INFO] [1751357103.323966790] [minimal_publisher]: TIME: 6.564864 ms, Objects detected: 9
[INFO] [1751357103.424105828] [minimal_publisher]: TIME: 6.709408 ms, Objects detected: 11
[INFO] [1751357103.525436097] [minimal_publisher]: TIME: 6.936576 ms, Objects detected: 13
[INFO] [1751357103.623860027] [minimal_publisher]: TIME: 6.689792 ms, Objects detected: 10
[INFO] [1751357103.722790940] [minimal_publisher]: TIME: 6.687744 ms, Objects detected: 12
[INFO] [1751357103.823029972] [minimal_publisher]: TIME: 5.716992 ms, Objects detected: 10
[INFO] [1751357103.921820628] [minimal_publisher]: TIME: 6.887424 ms, Objects detected: 14
[INFO] [1751357104.023886458] [minimal_publisher]: TIME: 6.718400 ms, Objects detected: 12
[INFO] [1751357104.125027238] [minimal_publisher]: TIME: 6.606112 ms, Objects detected: 10
[INFO] [1751357104.224037301] [minimal_publisher]: TIME: 6.793120 ms, Objects detected: 14
[INFO] [1751357104.324305939] [minimal_publisher]: TIME: 6.845216 ms, Objects detected: 11
[INFO] [1751357104.424926963] [minimal_publisher]: TIME: 6.685696 ms, Objects detected: 10
