[INFO] [1751364852.080686975] [minimal_publisher]: TIME: 18.153088 ms, Objects detected: 15
[INFO] [1751364852.170142996] [minimal_publisher]: TIME: 5.675040 ms, Objects detected: 12
[INFO] [1751364852.268544660] [minimal_publisher]: TIME: 6.425600 ms, Objects detected: 12
[INFO] [1751364852.371938656] [minimal_publisher]: TIME: 6.658368 ms, Objects detected: 12
[INFO] [1751364852.474273966] [minimal_publisher]: TIME: 6.921632 ms, Objects detected: 17
[INFO] [1751364852.573876970] [minimal_publisher]: TIME: 6.898688 ms, Objects detected: 15
[INFO] [1751364852.675962720] [minimal_publisher]: TIME: 7.372384 ms, Objects detected: 15
[INFO] [1751364852.774665748] [minimal_publisher]: TIME: 7.666176 ms, Objects detected: 16
[INFO] [1751364852.868666991] [minimal_publisher]: TIME: 6.069824 ms, Objects detected: 15
[INFO] [1751364852.967626049] [minimal_publisher]: TIME: 6.653824 ms, Objects detected: 12
[INFO] [1751364853.070241877] [minimal_publisher]: TIME: 5.777504 ms, Objects detected: 13
[INFO] [1751364853.173192047] [minimal_publisher]: TIME: 6.412128 ms, Objects detected: 13
[INFO] [1751364853.267051657] [minimal_publisher]: TIME: 5.955456 ms, Objects detected: 13
[INFO] [1751364853.366297900] [minimal_publisher]: TIME: 5.861664 ms, Objects detected: 12
[INFO] [1751364853.469248888] [minimal_publisher]: TIME: 5.644288 ms, Objects detected: 13
[INFO] [1751364853.568663236] [minimal_publisher]: TIME: 5.610400 ms, Objects detected: 14
[INFO] [1751364853.669036425] [minimal_publisher]: TIME: 5.785600 ms, Objects detected: 11
[INFO] [1751364853.770281562] [minimal_publisher]: TIME: 5.757952 ms, Objects detected: 14
[INFO] [1751364853.871298553] [minimal_publisher]: TIME: 5.752640 ms, Objects detected: 13
[INFO] [1751364853.969347021] [minimal_publisher]: TIME: 5.995584 ms, Objects detected: 14
[INFO] [1751364854.070566707] [minimal_publisher]: TIME: 6.621408 ms, Objects detected: 10
[INFO] [1751364854.172870594] [minimal_publisher]: TIME: 5.824704 ms, Objects detected: 11
[INFO] [1751364854.271692815] [minimal_publisher]: TIME: 6.959392 ms, Objects detected: 12
[INFO] [1751364854.373698318] [minimal_publisher]: TIME: 6.655392 ms, Objects detected: 10
[INFO] [1751364854.470706536] [minimal_publisher]: TIME: 6.855680 ms, Objects detected: 13
[INFO] [1751364854.568028077] [minimal_publisher]: TIME: 5.913696 ms, Objects detected: 13
[INFO] [1751364854.671722585] [minimal_publisher]: TIME: 6.202272 ms, Objects detected: 14
[INFO] [1751364854.769377821] [minimal_publisher]: TIME: 6.104064 ms, Objects detected: 12
[INFO] [1751364854.870196603] [minimal_publisher]: TIME: 7.252000 ms, Objects detected: 10
[INFO] [1751364854.970182976] [minimal_publisher]: TIME: 5.764032 ms, Objects detected: 11
[INFO] [1751364855.070388305] [minimal_publisher]: TIME: 5.723168 ms, Objects detected: 9
[INFO] [1751364855.170905017] [minimal_publisher]: TIME: 5.714976 ms, Objects detected: 10
[INFO] [1751364855.272587178] [minimal_publisher]: TIME: 6.711296 ms, Objects detected: 11
[INFO] [1751364855.370215269] [minimal_publisher]: TIME: 6.118400 ms, Objects detected: 10
[INFO] [1751364855.471988645] [minimal_publisher]: TIME: 6.771840 ms, Objects detected: 11
[INFO] [1751364855.574050841] [minimal_publisher]: TIME: 6.976512 ms, Objects detected: 12
[INFO] [1751364855.670300479] [minimal_publisher]: TIME: 5.826144 ms, Objects detected: 14
[INFO] [1751364855.768445431] [minimal_publisher]: TIME: 5.962592 ms, Objects detected: 12
[INFO] [1751364855.871384526] [minimal_publisher]: TIME: 6.776832 ms, Objects detected: 9
[INFO] [1751364855.973119333] [minimal_publisher]: TIME: 7.068416 ms, Objects detected: 12
